ID,Type,Card Name,Category,Sem_Start,Sem_End,Cost_Time,Cost_Health,Cost_Study,Cost_Social,Cost_Money,Cost_Stress,Req_Prerequisite,Reward_Algo,Reward_POR,Reward_Res,Reward_Prod
OPP_022,POR,secy_election_commission,POR,3,4,2,0,0,1,0,1,volunteer_election_commission,0,1,0,0
OPP_023,POR,head_election_commission,POR,5,6,3,0,0,1,0,2,secy_election_commission,0,2,0,0
OPP_024,POR,oc_election_commission,POR,7,8,4,0,0,2,0,3,head_election_commission,0,3,0,1
OPP_025,POR,volunteer_cwc,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_026,POR,secy_cwc,POR,3,4,2,0,0,1,0,1,volunteer_cwc,0,1,0,0
OPP_027,POR,head_cwc,POR,5,6,3,0,0,1,0,2,secy_cwc,0,2,0,0
OPP_028,POR,oc_cwc,POR,7,8,4,0,0,2,0,3,head_cwc,0,3,0,1
OPP_029,POR,volunteer_outreach,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_030,POR,secy_outreach,POR,3,4,2,0,0,1,0,1,volunteer_outreach,0,1,0,0
OPP_031,POR,head_outreach,POR,5,6,3,0,0,1,0,2,secy_outreach,0,2,0,0
OPP_032,POR,oc_outreach,POR,7,8,4,0,0,2,0,3,head_outreach,0,3,0,1
OPP_033,POR,volunteer_vox_populi,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_034,POR,secy_vox_populi,POR,3,4,2,0,0,1,0,1,volunteer_vox_populi,0,1,0,0
OPP_035,POR,head_vox_populi,POR,5,6,3,0,0,1,0,2,secy_vox_populi,0,2,0,0
OPP_036,POR,oc_vox_populi,POR,7,8,4,0,0,2,0,3,head_vox_populi,0,3,0,1
OPP_037,POR,volunteer_ppoc,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_038,POR,secy_ppoc,POR,3,4,2,0,0,1,0,1,volunteer_ppoc,0,1,0,0
OPP_039,POR,head_ppoc,POR,5,6,3,0,0,1,0,2,secy_ppoc,0,2,0,0
OPP_040,POR,oc_ppoc,POR,7,8,4,0,0,2,0,3,head_ppoc,0,3,0,1
OPP_041,POR,volunteer_antaragni,POR,1,2,2,0,0,0,0,1,None,0,0,0,0
OPP_042,POR,secy_antaragni,POR,3,4,3,0,0,1,0,2,volunteer_antaragni,0,1,0,0
OPP_043,POR,organiser_antaragni,POR,5,6,4,0,0,2,0,3,secy_antaragni,0,2,0,0
OPP_044,POR,festcoord_antaragni,POR,7,8,5,0,0,2,0,4,organiser_antaragni,0,3,0,1
OPP_045,POR,volunteer_techkriti,POR,1,2,2,0,0,0,0,1,None,0,0,0,0
OPP_046,POR,secy_techkriti,POR,3,4,3,0,0,1,0,2,volunteer_techkriti,0,1,0,0
OPP_047,POR,organiser_techkriti,POR,5,6,4,0,0,2,0,3,secy_techkriti,0,2,0,0
OPP_048,POR,festcoord_techkriti,POR,7,8,5,0,0,2,0,4,organiser_techkriti,0,3,0,1
OPP_049,POR,volunteer_udghosh,POR,1,2,2,0,0,0,0,1,None,0,0,0,0
OPP_050,POR,secy_udghosh,POR,3,4,3,0,0,1,0,2,volunteer_udghosh,0,1,0,0
OPP_051,POR,organiser_udghosh,POR,5,6,4,0,0,2,0,3,secy_udghosh,0,2,0,0
OPP_052,POR,festcoord_udghosh,POR,7,8,5,0,0,2,0,4,organiser_udghosh,0,3,0,1
OPP_053,POR,volunteer_gymkhana,POR,1,2,2,0,0,0,0,1,None,0,0,0,0
OPP_054,POR,senator,POR,1,8,3,0,0,1,0,2,None,0,1,0,0
OPP_055,POR,gymkhana_secy,POR,5,6,4,0,0,2,0,3,senator,0,2,0,0
OPP_056,POR,president_gymkhana,POR,7,8,5,0,0,3,0,4,gymkhana_secy + Social>=80,0,3,0,2
OPP_057,POR,volunteer_udghosh,POR,1,2,2,0,0,0,0,1,None,0,0,0,0
OPP_058,POR,secy_udghosh,POR,3,4,3,0,0,1,0,2,volunteer_udghosh,0,1,0,0
OPP_059,POR,head_udghosh,POR,5,6,4,0,0,2,0,3,secy_udghosh,0,2,0,0
OPP_060,POR,festcoord_udghosh,POR,7,8,5,0,0,2,0,4,head_udghosh,0,3,0,1
